,_arpt_ident,_name,_state_prov,_icao,_faa_host_id,_loc_hdatum,_wgs_datum,_wgs_lat,_wgs_dlat,_wgs_long,_wgs_dlong,_elev,_type,_mag_var,_wac,_beacon,_second_arpt,_opr_agy,_sec_name,_sec_icao,_sec_faa,_sec_opr_agy,_cycle_date,__id
,US05477,KLAWOCK,02,PAKW,AKW,WGE,WGE,N55344524,55.579233,W133043359,-133.075997,00080,D,E020235 1210,0186,Y,,PA,,,,,201012,5942
,US05483,PAYETTE MUNI,16,KZ,KS75,WGE,WGE,N44054030,44.094528,W116541300,-116.903611,02228,D,E014335 1210,0268,Y,,MU,,,,,200901,5943
,US05488,MEMPHIS MEM,29,KZ,K03D,WGE,WGE,N40265000,40.447222,W092133700,-92.226944,00813,D,E000257 1210,0308,Y,,MU,,,,,201011,5944
,US05493,NEWBERRY CO,45,KZ,KEOE,WGE,WGE,N34183356,34.309322,W081382636,-81.640656,00570,A,W006379 1210,0409,Y,,FA,,,,,201013,5945
,US05500,HIGH MAN TOWER AIRSTRIP,48,KZ,TE62,WGE,WGE,N27511536,27.854267,W097405619,-97.682275,00090,D,E004364 1210,0522,Y,,PV,,,,,200906,5946
,US05503,CREVE COEUR,29,KZ,K1H0,WGE,WGE,N38433620,38.726722,W090302970,-90.508250,00463,A,W000430 1210,0359,Y,,MU,,,,,201103,5947
,US05511,HOUSTON MEM,29,KZ,KM48,WGE,WGE,N37194880,37.330222,W091582340,-91.973167,01196,D,E000328 1210,0359,Y,,PA,,,,,201002,5949
,US05518,OWEN FLD,29,KZ,KH58,WGE,WGE,N37110496,37.184711,W092441551,-92.737642,01600,D,E001073 1210,0359,,,PA,,,,,200807,5952
,US05524,PENMAN,29,KZ,3MO4,WGE,WGE,N36270223,36.450619,W089374129,-89.628136,00287,D,W001065 1210,0359,,,PA,,,,,201103,5953
,US05525,LENAWEE CO,26,KZ,KADG,WGE,WGE,N41520362,41.867672,W084043830,-84.077306,00798,D,W006259 1210,0309,Y,,PA,,,,,201001,5954
